z_idx,z_lo,z_hi,mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,valid,d_mass,d_bulge,d_z,q_unbarred,med_mass_u,med_bulge_u,med_z_u,delta_q,barmode
2,0.1,0.15,1,2,10.428152084350586,10.611761093139648,1.4962348618435812,1.6451332806655006,72,642,True,0.0017595291137695312,0.020676378739634238,-0.007251925766468048,0.018691588785046728,10.529848098754883,1.564095122120547,0.12177537009119987,0.03686396677050882,strong_only
2,0.1,0.15,1,3,10.428152084350586,10.611761093139648,1.6451332806655006,1.8280321411876859,105,423,True,0.009089469909667969,0.012214248739197187,-0.004501424729824066,0.018912529550827423,10.536767959594727,1.7185633263221478,0.1187727153301239,0.04775413711583924,strong_only
2,0.1,0.15,1,4,10.428152084350586,10.611761093139648,1.8280321411876859,2.7954545520584695,82,321,True,0.009801864624023438,-0.06959970976372976,-0.0014342442154884338,0.09657320872274143,10.53564739227295,2.0138732701303237,0.11657112836837769,-0.04779272091786338,strong_only
2,0.1,0.15,2,0,10.611761093139648,10.756779670715332,0.4821862755675124,1.34510844190082,35,833,True,0.005669593811035156,0.017030623639406217,-0.008553393185138702,0.012004801920768308,10.680341720581055,1.2604882686603553,0.1234721839427948,0.10228091236494598,strong_only
2,0.1,0.15,2,1,10.611761093139648,10.756779670715332,1.34510844190082,1.4962348618435812,76,733,True,0.022202014923095703,0.028727987656740117,-0.002134431153535843,0.008185538881309686,10.683720588684082,1.4203355216374316,0.1235944926738739,0.018130250592374525,strong_only
2,0.1,0.15,2,2,10.611761093139648,10.756779670715332,1.4962348618435812,1.6451332806655006,100,555,True,-0.0019965171813964844,0.014441844376264168,-0.00501781702041626,0.023423423423423424,10.68196964263916,1.5644760392765058,0.12488162517547607,0.02657657657657658,strong_only
2,0.1,0.15,2,3,10.611761093139648,10.756779670715332,1.6451332806655006,1.8280321411876859,163,405,True,0.011896133422851562,0.017254320556400415,-0.009467363357543945,0.04691358024691358,10.687829971313477,1.7206189182077913,0.1256335824728012,0.05124592895554041,strong_only
2,0.1,0.15,2,4,10.611761093139648,10.756779670715332,1.8280321411876859,2.7954545520584695,171,505,True,0.000141143798828125,-0.1212566596766913,-0.0033102110028266907,0.16633663366336635,10.695561408996582,2.068098153031083,0.12046216428279877,-0.02013780325400963,strong_only
2,0.1,0.15,3,0,10.756779670715332,10.891862869262695,0.4821862755675124,1.34510844190082,31,476,True,0.010640144348144531,0.015665720133741345,-0.0016533099114894867,0.02100840336134454,10.812105178833008,1.2635755930682453,0.12391968443989754,0.04350772567091352,strong_only
2,0.1,0.15,3,1,10.756779670715332,10.891862869262695,1.34510844190082,1.4962348618435812,75,597,True,0.0071868896484375,0.011160606633725756,-0.008415587246418,0.018425460636515914,10.821064949035645,1.4238269595953692,0.12586963176727295,0.04824120603015075,strong_only
2,0.1,0.15,3,2,10.756779670715332,10.891862869262695,1.4962348618435812,1.6451332806655006,160,485,True,0.014517784118652344,0.02191764618995795,-0.003900870680809021,0.0577319587628866,10.820566177368164,1.563644700649752,0.12554959952831268,0.017268041237113396,strong_only
2,0.1,0.15,3,3,10.756779670715332,10.891862869262695,1.6451332806655006,1.8280321411876859,255,413,True,0.0002002716064453125,0.016457777216058345,-0.002642996609210968,0.0847457627118644,10.824040412902832,1.724089208540323,0.12189474701881409,0.0760385510136258,strong_only
2,0.1,0.15,3,4,10.756779670715332,10.891862869262695,1.8280321411876859,2.7954545520584695,288,660,True,-0.004809379577636719,-0.13847012486361043,-0.0009057410061359406,0.25757575757575757,10.82492971420288,2.062033665073228,0.12303175032138824,-0.04577020202020202,strong_only
2,0.1,0.15,4,0,10.891862869262695,11.04822826385498,0.4821862755675124,1.34510844190082,25,323,False,,,,,,,,,strong_only
2,0.1,0.15,4,1,10.891862869262695,11.04822826385498,1.34510844190082,1.4962348618435812,75,458,True,-0.018729209899902344,0.016135182159696004,-0.0021595358848571777,0.043668122270742356,10.96585750579834,1.4276469599451644,0.1266210824251175,0.10299854439592432,strong_only
2,0.1,0.15,4,2,10.891862869262695,11.04822826385498,1.4962348618435812,1.6451332806655006,167,422,True,0.005239009857177734,0.024769545069813992,-0.0019006505608558655,0.10900473933649289,10.963009357452393,1.5627964488937662,0.1251755654811859,-0.013196356102959952,strong_only
2,0.1,0.15,4,3,10.891862869262695,11.04822826385498,1.6451332806655006,1.8280321411876859,358,443,True,-0.006706714630126953,-0.0028269625124235365,-0.001062583178281784,0.2234762979683973,10.976312637329102,1.7357831534066699,0.12349860370159149,0.044680126612608284,strong_only
