mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
4,3,10.67510191599528,10.885112444559732,1.5513543675332466,1.7524639118556564,429,592,104,127,True,0.24242424242424243,0.20427314046303083,0.28514730322059995,0.21452702702702703,0.18335599483043236,0.24937901379253435,0.027897215397215402,-0.02377644871089543,0.0807828767054604,0.06,0.1,all,comparison,strong_only
4,4,10.67510191599528,10.885112444559732,1.7524639118556564,3.031238183903549,525,956,223,393,True,0.4247619047619048,0.3831758061452757,0.4674410494693193,0.4110878661087866,0.3803144127726844,0.4425730042713033,0.01367403865311817,-0.038486459075189265,0.06629071683775549,0.06,0.1,all,comparison,strong_only
5,0,10.885112444559732,12.37898349761963,0.3829151653165051,1.2595906494532976,24,169,5,28,False,,,,,,,,,,0.06,0.1,all,comparison,strong_only
5,1,10.885112444559732,12.37898349761963,1.2595906494532976,1.4013679046574006,120,378,40,99,True,0.3333333333333333,0.25531740501258443,0.4216889837936501,0.2619047619047619,0.22013549928099677,0.30846466751093676,0.0714285714285714,-0.01942466121509484,0.169159796062251,0.06,0.1,all,comparison,strong_only
5,2,10.885112444559732,12.37898349761963,1.4013679046574006,1.5513543675332466,332,667,138,232,True,0.41566265060240964,0.36390968425178444,0.4693449704991693,0.34782608695652173,0.31264561205623786,0.3847493576034132,0.06783656364588792,0.004262217865907261,0.13201956204661347,0.06,0.1,all,comparison,strong_only
5,3,10.885112444559732,12.37898349761963,1.5513543675332466,1.7524639118556564,508,827,312,411,True,0.6141732283464567,0.5711358490507927,0.6554968279255298,0.4969770253929867,0.4629931788703394,0.5309888258227137,0.11719620295347,0.06234168094196741,0.1706989291143528,0.06,0.1,all,comparison,strong_only
5,4,10.885112444559732,12.37898349761963,1.7524639118556564,3.031238183903549,488,1034,329,561,True,0.6741803278688525,0.6313773800102583,0.7142624536215284,0.5425531914893617,0.5120861060361968,0.5727052647961024,0.13162713637949086,0.0792702851556004,0.1819741333193658,0.06,0.1,all,comparison,strong_only
0,0,9.530496597290039,10.428152084350586,0.4821862755675124,1.34510844190082,22,1441,0,12,False,,,,,,,,,,0.1,0.15,all,comparison,strong_only
0,1,9.530496597290039,10.428152084350586,1.34510844190082,1.4962348618435812,29,964,0,7,False,,,,,,,,,,0.1,0.15,all,comparison,strong_only
0,2,9.530496597290039,10.428152084350586,1.4962348618435812,1.6451332806655006,24,626,0,2,False,,,,,,,,,,0.1,0.15,all,comparison,strong_only
